,GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,longitude,latitude
27,2012R0401,2012,R4,20/4/2012,22.1,11.8,2.4,Docklands,7:50 pm,"30,172",St Kilda,4.3,6.9,8.1,11.13,79,Fremantle,3.2,6.3,11.6,14.8,92,144.94846,-37.81835
28,2012R0402,2012,R4,21/4/2012,24.0,13.3,2.6,M.C.G.,1:45 pm,"73,172",Carlton,4.4,4.7,5.12,11.13,79,Essendon,3.6,8.11,12.17,15.19,109,144.983032,-37.818439
29,2012R0403,2012,R4,21/4/2012,24.0,13.3,2.6,Docklands,2:10 pm,"30,741",Collingwood,7.5,8.8,13.11,14.13,97,Port Adelaide,2.2,5.7,8.8,10.13,73,144.94846,-37.81835
30,2012R0404,2012,R4,21/4/2012,21.5,18.8,0.0,Football Park,4:10 pm,"28,261",Adelaide,5.4,7.8,10.13,13.18,96,Greater Western Sydney,1.1,5.3,6.6,7.8,50,149.11195,-35.24852
31,2012R0405,2012,R4,21/4/2012,21.9,9.2,0.0,Subiaco,5:40 pm,"40,080",West Coast,0.8,0.12,2.16,5.21,51,Hawthorn,0.4,2.7,3.13,5.16,46,115.82576,-31.94447
32,2012R0406,2012,R4,21/4/2012,29.9,18.1,0.0,Gabba,7:40 pm,"21,980",Brisbane Lions,3.3,7.4,12.5,17.9,111,Gold Coast,2.4,5.8,5.9,6.1,46,145.6925,-36.2155
33,2012R0407,2012,R4,22/4/2012,23.2,14.5,7.2,Kardinia Park,1:10 pm,"21,952",Geelong,4.1,7.3,10.4,11.9,75,Richmond,3.1,3.6,7.1,9.11,65,117.797531,-22.69459
34,2012R0408,2012,R4,22/4/2012,25.2,16.3,0.0,S.C.G.,3:15 pm,"21,049",Sydney,5.5,9.7,14.9,17.11,113,North Melbourne,1.3,6.7,7.11,10.17,77,149.11195,-35.24852
35,2012R0409,2012,R4,22/4/2012,23.7,13.5,1.4,M.C.G.,4:40 pm,"33,565",Melbourne,1.5,3.8,7.1,9.13,67,Western Bulldogs,3.2,6.5,10.7,13.1,88,144.983032,-37.818439
36,2012R0501,2012,R5,25/4/2012,15.2,8.7,19.0,M.C.G.,2:40 pm,"86,932",Collingwood,2.4,5.6,9.8,11.14,80,Essendon,1.3,3.6,7.8,11.13,79,144.983032,-37.818439
37,2012R0502,2012,R5,27/4/2012,29.5,17.6,0.0,Subiaco,6:45 pm,"38,847",Fremantle,1.2,3.9,4.1,7.15,57,Carlton,2.1,6.2,9.4,10.5,65,115.82576,-31.94447
38,2012R0503,2012,R5,28/4/2012,19.4,3.9,0.0,Manuka Oval,1:45 pm,"9,128",Greater Western Sydney,2.4,5.5,8.6,9.8,62,Western Bulldogs,0.5,8.9,12.12,15.14,104,149.1367,-35.31863
39,2012R0504,2012,R5,28/4/2012,21.5,8.2,0.0,Docklands,4:40 pm,"17,680",North Melbourne,4.9,8.13,14.22,17.25,127,Gold Coast,2.5,9.8,10.12,13.15,93,144.94846,-37.81835
40,2012R0505,2012,R5,28/4/2012,21.5,8.2,0.0,M.C.G.,7:40 pm,"24,877",Melbourne,4.1,8.3,10.6,10.6,66,St Kilda,5.4,8.5,10.9,12.12,84,144.983032,-37.818439
41,2012R0506,2012,R5,28/4/2012,21.2,16.1,38.4,Gabba,7:45 pm,"15,534",Brisbane Lions,0.5,0.7,1.9,4.17,41,Geelong,4.1,7.5,10.6,12.7,79,145.6925,-36.2155
42,2012R0507,2012,R5,29/4/2012,15.6,2.1,0.0,York Park,1:10 pm,"19,217",Hawthorn,5.3,8.6,8.6,10.9,69,Sydney,2.2,5.4,9.7,16.1,106,149.11195,-35.24852
43,2012R0508,2012,R5,29/4/2012,16.0,8.6,1.6,Docklands,3:15 pm,"28,464",Richmond,4.2,9.4,12.9,14.13,97,West Coast,5.3,11.6,12.11,16.11,107,144.94846,-37.81835
44,2012R0509,2012,R5,29/4/2012,19.0,7.8,0.0,Football Park,4:10 pm,"41,649",Adelaide,4.3,10.4,12.7,16.14,110,Port Adelaide,4.2,7.3,13.4,14.7,91,149.11195,-35.24852
45,2012R0601,2012,R6,4/5/2012,16.7,9.8,4.0,Docklands,7:50 pm,"38,155",Western Bulldogs,3.5,5.7,10.1,11.11,77,Collingwood,2.0,6.4,11.5,15.8,98,144.94846,-37.81835
46,2012R0602,2012,R6,5/5/2012,13.3,7.4,0.0,Docklands,1:40 pm,"36,361",Essendon,8.3,12.9,16.12,19.15,129,Brisbane Lions,4.1,7.4,8.4,9.8,62,144.94846,-37.81835
